TESTACC,TS-CHIEF,HIVE-COTE v1.0,ROCKET,InceptionTime,STC,ResNet,ProximityForest,WEASEL,S-BOSS,cBOSS,BOSS,RISE,TSF,Catch22,Nasz – max,Nasz – avg,Nasz,Nasz,Nasz,Nasz,Nasz
ChlorineConcentration,0.660842013888889,0.733949652777778,0.796137152777778,0.863611111111111,0.735225694444444,0.841006944444445,0.631137152777778,0.754861111111111,0.659114583333333,0.664956597222222,0.658246527777778,0.764756944444444,0.723064236111111,0.597951388888889,0.569215893745422,0.549467575550079,0.549854815006256,0.544046461582184,0.540174245834351,0.544046461582184,0.569215893745422
CinCECGTorso,0.953429951690821,0.993743961352657,0.864130434782608,0.832125603864734,0.977777777777778,0.767874396135266,0.937657004830918,0.984975845410628,0.942632850241546,0.829154589371981,0.91475845410628,0.94743961352657,0.958188405797101,0.802995169082126,0.722379624843597,0.695184135437012,0.67138808965683,0.722379624843597,0.685552418231964,0.719546735286713,0.677053809165955
Coffee,0.990476190476191,0.992857142857143,1,0.998809523809524,0.989285714285714,0.996428571428572,0.991666666666667,0.989285714285714,0.980952380952381,0.990476190476191,0.985714285714286,0.98452380952381,0.986904761904762,0.979761904761905,1,1,1,1,1,1,1
Computers,0.753866666666667,0.811066666666667,0.842933333333333,0.865866666666667,0.799066666666667,0.8604,0.714266666666667,0.778533333333333,0.82,0.7788,0.800533333333333,0.778933333333333,0.6488,0.780266666666667,0,#DIV/0!,,,,,
CricketX,0.83042735042735,0.816153846153846,0.838974358974359,0.853333333333333,0.792051282051282,0.808119658119658,0.80042735042735,0.775726495726496,0.784102564102564,0.764273504273504,0.762393162393163,0.706239316239316,0.692735042735043,0.608888888888889,0.367021262645721,0.329787224531174,0.367021262645721,0.335106372833252,0.287234038114548,0.319148927927017,0.34042552113533
CricketY,0.817008547008547,0.80982905982906,0.845042735042735,0.85982905982906,0.777948717948718,0.81017094017094,0.79982905982906,0.77957264957265,0.771367521367521,0.751282051282051,0.75042735042735,0.709145299145299,0.685897435897436,0.59051282051282,0.294117659330368,0.285561501979828,0.294117659330368,0.278074860572815,0.272727280855179,0.28877004981041,0.294117659330368
CricketZ,0.838205128205128,0.833931623931624,0.853247863247863,0.860940170940171,0.807179487179487,0.813247863247863,0.802820512820513,0.78991452991453,0.786752136752137,0.772478632478633,0.769316239316239,0.721623931623931,0.705897435897436,0.628205128205128,0.34042552113533,0.328723394870758,0.34042552113533,0.297872334718704,0.335106372833252,0.329787224531174,0.34042552113533
Crop,0.762101190476191,0.768162698412698,0.751684523809524,0.793255952380952,0.736700396825397,0.763801587301588,0.753109126984127,0.723825396825397,0.707785714285714,0.700888888888889,0.685688492063492,0.73,0.745593253968254,0.653140873015873,0,#DIV/0!,,,,,
DiatomSizeReduction,0.945860566448801,0.914270152505446,0.957952069716775,0.950871459694989,0.859259259259259,0.306209150326797,0.956753812636165,0.908061002178649,0.945424836601307,0.88355119825708,0.94520697167756,0.932135076252723,0.941721132897603,0.924727668845316,0.949367105960846,0.941772162914276,0.911392390727997,0.949367105960846,0.949367105960846,0.949367105960846,0.949367105960846
DistalPhalanxOutlineAgeGroup,0.828057553956834,0.823980815347722,0.811510791366906,0.765707434052758,0.796163069544365,0.776019184652278,0.802158273381295,0.792805755395683,0.821342925659473,0.805515587529976,0.820623501199041,0.821582733812949,0.809352517985612,0.782973621103118,0.764705896377564,0.744537830352783,0.747899174690247,0.756302535533905,0.764705896377564,0.689075648784637,0.764705896377564
DistalPhalanxOutlineCorrect,0.819323671497585,0.823550724637681,0.8243961352657,0.815338164251208,0.827294685990338,0.809178743961352,0.823429951690821,0.819202898550724,0.810990338164251,0.780193236714976,0.81171497584541,0.811231884057971,0.805797101449275,0.81207729468599,1,1,1,1,1,1,1
DistalPhalanxTW,0.691846522781775,0.696163069544364,0.701199040767386,0.665467625899281,0.689928057553957,0.667146282973621,0.692086330935252,0.678657074340528,0.669544364508393,0.673141486810552,0.671462829736211,0.694484412470024,0.691127098321343,0.6810551558753,0.483870953321457,0.422580641508102,0.483870953321457,0.451612889766693,0.467741936445236,0.306451618671417,0.403225809335709
Earthquakes,0.748201438848921,0.747482014388489,0.748441247002398,0.731175059952038,0.741966426858513,0.717026378896882,0.749640287769784,0.747482014388489,0.747482014388489,0.747482014388489,0.746043165467626,0.748201438848921,0.747482014388489,0.73884892086331,1,1,1,1,1,1,1
ECG200,0.855,0.858666666666667,0.899,0.896666666666667,0.839,0.883666666666667,0.873,0.859,0.871666666666667,0.829666666666667,0.878333333333334,0.851,0.86,0.788666666666667,1,1,1,1,1,1,1
ECG5000,0.948459259259259,0.945622222222222,0.947385185185185,0.942118518518518,0.941777777777778,0.937022222222222,0.939511111111111,0.945881481481481,0.940696296296296,0.943214814814815,0.940059259259259,0.936688888888889,0.943377777777778,0.936237037037037,0.91928631067276,0.91028037071228,0.906542062759399,0.904842793941498,0.91928631067276,0.902293980121612,0.918436706066132
ECGFiveDays,0.994425087108014,0.993766937669377,0.995973674022455,0.995857530003872,0.977893921796361,0.951025938830817,0.88281068524971,0.993534649632211,0.992218350754936,0.983933410762679,0.992295780100658,0.972861014324429,0.951955090979481,0.815873015873016,0.949771702289581,0.914155244827271,0.894977152347565,0.913241982460022,0.885844767093658,0.926940619945526,0.949771702289581
ElectricDevices,0.865041283015605,0.87970864133489,0.893156961915878,0.890169887174167,0.88177495352959,0.888380236026456,0.842441533739679,0.871698439458782,0.805969826654563,0.813145722560844,0.797384688540181,0.824030605628323,0.793061859680975,0.87214369083128,0,#DIV/0!,,,,,
EOGHorizontalSignal,0.853683241252302,0.795672191528545,0.813812154696132,0.883517495395948,0.759852670349908,0.864732965009208,0.824401473296501,0.747329650092081,0.70828729281768,0.720441988950276,0.706721915285451,0.624861878453039,0.705985267034991,0.673020257826888,0.309278339147568,0.268041229248047,0.237113401293755,0.309278339147568,0.247422680258751,0.257731944322586,0.288659781217575
EOGVerticalSignal,0.809484346224678,0.762983425414365,0.781123388581952,0.814732965009208,0.71316758747698,0.751749539594844,0.777624309392265,0.697513812154696,0.683057090239411,0.668692449355433,0.660313075506446,0.603499079189687,0.67255985267035,0.614917127071823,0.278350502252579,0.228865972161293,0.175257727503777,0.278350502252579,0.185567006468773,0.257731944322586,0.247422680258751
EthanolLevel,0.6056,0.849,0.625266666666667,0.875133333333334,0.855733333333333,0.852533333333333,0.324066666666667,0.705066666666667,0.5056,0.490733333333333,0.508733333333333,0.661066666666667,0.669266666666667,0.3974,0.255033552646637,0.24026845395565,0.248322144150734,0.214765101671219,0.234899327158928,0.248322144150734,0.255033552646637
FaceAll,0.982721893491124,0.979723865877712,0.988007889546351,0.983195266272189,0.953688362919132,0.981854043392505,0.977061143984221,0.973116370808679,0.975069033530572,0.969033530571992,0.970098619329388,0.964852071005917,0.949960552268245,0.810848126232742,0.415607988834381,0.387658804655075,0.386569887399674,0.39019963145256,0.366606175899506,0.415607988834381,0.379310339689255
FaceFour,0.999621212121212,0.97310606060606,0.931439393939394,0.938636363636364,0.656439393939394,0.925,0.945454545454546,0.981060606060606,0.981818181818182,0.996969696969697,0.995454545454545,0.876893939393939,0.906818181818182,0.679545454545455,0.740740716457367,0.666666662693024,0.703703701496124,0.629629611968994,0.703703701496124,0.555555582046509,0.740740716457367
